N	P	E	T	Q
0	0.0	0	-8.735	260.0
1	0.0	0.43593801970639423	-7.055	225.0
2	0.0	0.3611198366986488	-9.620000000000001	200.0
3	0.0	0.27063449167024844	-13.435	175.0
4	0.0	0.27601989649494046	-13.23	160.0
5	0.0	0.24664185195782362	-14.665000000000001	150.0
6	0.0	0.260202314704231	-13.985000000000001	140.0
7	3.11	0.4739560110700209	-6.105	130.0
8	0.0	0.39297768521044457	-8.725	125.0
9	0.0	0.27409684827243846	-13.46	120.0
10	0.0	0.29545035590120705	-12.495	130.0
11	16.08	0.7010181967245408	-0.7450000000000001	200.0
12	0.0	0.42166096377944373	-7.925	390.0
13	0.0	0.3881660491154118	-9.055	320.0
14	4.69	0.6612049663044773	-1.7200000000000002	275.0
15	0.0	0.5463751719273965	-4.470000000000001	245.0
16	0.0	0.4604637352265993	-6.9	215.0
17	0.0	0.47890667509033635	-6.365	200.0
18	0.0	0.6848844841253603	-1.44	180.0
19	0.0	0.6587537529607256	-2.075	170.0
20	0.0	0.398301834667581	-8.995000000000001	160.0
21	0.0	0.2683721129007228	-14.2	150.0
22	5.28	0.33761269766654173	-11.315	140.0
23	0.0	0.3212974863866266	-11.959999999999999	135.0
24	0.0	0.180160460566915	-19.33	130.0
25	0.0	0.2561322822963238	-14.995000000000001	125.0
26	0.0	0.32571660346442904	-11.93	120.0
27	0.0	0.40293862558904925	-9.254999999999999	120.0
28	0.0	0.37363949341187114	-10.254999999999999	120.0
29	0.0	0.2717605731961545	-14.485	115.0
30	0.0	0.22037491751315083	-17.130000000000003	110.0
31	0.0	0.2307242394940514	-16.595	105.0
32	0.0	0.2582551537433369	-15.275	100.0
33	0.0	0.2336588837681881	-16.53	98.0
34	0.0	0.2696657249237402	-14.855	95.0
35	0.0	0.3577885764850096	-11.22	92.0
36	0.0	0.3412405484260859	-11.965	89.0
37	0.0	0.3952761015703128	-10.04	87.0
38	0.0	0.39111540279690754	-10.305	85.0
39	0.0	0.3991520324545778	-10.040000000000001	84.0
40	0.0	0.3518901718722938	-11.8	83.0
41	0.0	0.34314355352676185	-12.145	82.0
42	0.0	0.39571815219344775	-10.364999999999998	81.0
43	0.0	0.4678634827598579	-8.18	80.0
44	0.0	0.4190112984266534	-9.735	78.0
45	0.0	0.4792177528687682	-7.984999999999999	77.0
46	0.96	0.4147477893543772	-9.995000000000001	76.0
47	9.83	0.3379455882642893	-12.71	75.0
48	0.0	0.3027537794377563	-14.22	74.0
49	0.0	0.3789428040295873	-11.345	72.0
50	0.0	0.5413200020074667	-6.709999999999999	71.0
51	0.0	0.9565595386315444	1.315	70.0
52	0.0	0.4405112080451807	-9.605	69.0
53	8.75	0.3618222681147093	-12.184999999999999	74.0
54	0.0	0.5308720010705702	-7.225	72.0
55	2.83	0.5148313280448638	-7.64	70.0
56	0.0	0.44331342736202106	-9.76	69.0
57	0.0	0.24323676889841658	-17.435000000000002	67.0
58	1.63	0.28336484448250904	-15.645	66.0
59	0.57	0.2822379678806222	-15.695	65.0
60	0.0	0.24858508473342839	-17.385	64.0
61	0.0	0.22572449831273422	-18.58	63.0
62	0.0	0.2534177757397643	-17.255	62.0
63	0.0	0.38210816421120297	-12.15	61.0
64	0.0	0.5988268792939494	-6.185	61.0
65	3.21	0.6864912282506906	-4.42	63.0
66	0.0	0.5581244613656007	-7.26	67.0
67	5.4	0.8079145145002938	-2.255	69.0
68	9.47	0.7974198089795871	-2.44	74.0
69	0.0	0.5468472791874205	-7.765000000000001	79.0
70	8.16	0.6688797129919882	-5.015	90.0
71	10.89	0.5093762103736561	-8.83	98.0
72	0.0	0.3137870990098302	-15.22	110.0
73	9.39	0.493036940433454	-9.375	115.0
74	11.32	0.6369730272028499	-6.03	120.0
75	0.0	0.46250374802124805	-10.33	120.0
76	0.0	0.5566936174523458	-7.970000000000001	130.0
77	16.58	0.8374022513151816	-2.335	150.0
78	12.59	0.8607564025516777	-2.06	190.0
79	0.0	0.6947172347096306	-5.0600000000000005	260.0
80	0.0	0.9217229351754628	-1.1999999999999997	900.0
81	0.0	0.9902739008866458	-0.2849999999999997	810.0
82	0.0	1.1729478185857083	2.18	725.0
83	0.0	0.9721066356100538	-0.6649999999999996	670.0
84	0.0	1.1080558872403787	1.23	640.0
85	0.0	1.0895308535071313	0.8699999999999999	620.0
86	0.19	1.056653061221972	0.42500000000000004	610.0
87	0.0	0.9229727619196101	-1.6299999999999994	580.0
88	0.0	1.286501523250657	3.195	750.0
89	4.37	1.4464960247074081	4.835	1300.0
90	0.0	1.0836588101967444	0.45500000000000007	1300.0
91	0.0	1.0453977936150078	-0.06500000000000039	1100.0
92	0.0	1.1811984280636258	1.6	1070.0
93	0.0	1.3059876491434859	3.08	1100.0
94	0.0	1.3123360233478087	3.0399999999999996	1290.0
95	12.37	1.069473743863256	0.04500000000000015	1110.0
96	0.0	1.0228329882532643	-0.7050000000000001	1150.0
97	0.0	0.9082903775829593	-2.4000000000000004	1020.0
98	0.0	1.2258947473792208	1.815	952.0
99	0.0	1.3873557216038044	3.545	912.0
100	18.5	1.5052349271328318	4.755	2000.0
101	27.15	1.5370875397968362	4.959999999999999	6620.0
102	0.01	1.5560572406421107	5.145	4310.0
103	3.6	1.6131572565123435	5.58	2950.0
104	0.0	1.4630990221470102	4.109999999999999	2500.0
105	7.3	1.6836687867646207	6.12	2200.0
106	12.18	1.5358846354264208	4.73	3200.0
107	0.0	1.072732896399219	-0.6499999999999999	2300.0
108	0.0	1.1835255788272139	0.77	1900.0
109	0.0	1.1635689741105504	0.41999999999999993	1600.0
110	0.0	1.4576310692475576	3.7299999999999995	1450.0
111	5.45	1.8573423122689672	7.294999999999999	1300.0
112	0.0	1.186854031830657	0.5899999999999999	1250.0
113	9.52	1.3855149540886196	2.7699999999999996	1200.0
114	1.91	1.5283614724610972	4.195	1350.0
115	0.0	1.8555029401788963	7.065	1350.0
116	7.7	2.159644117135689	9.38	1300.0
117	9.14	1.7632805336106914	6.18	1380.0
118	0.0	1.6611939617703575	5.24	1320.0
119	0.0	1.8496275180362687	6.805	1200.0
120	19.62	1.9657011038966608	7.725	2400.0
121	0.0	2.2685729296253165	9.865	2400.0
122	0.0	2.081095654595498	8.515	2000.0
123	0.0	1.8921809189818861	6.944999999999999	1700.0
124	0.0	2.2594296830356346	9.695	1500.0
125	0.0	1.6154403184447705	4.445	1300.0
126	0.0	1.9508055932948	7.31	1130.0
127	6.62	2.3065515082956143	9.81	1030.0
128	8.91	1.6214115899064487	4.4	1090.0
129	4.2	1.741295821540863	5.42	1090.0
130	0.19	1.787378633607884	5.7700000000000005	1020.0
131	0.0	1.8843877698373792	6.56	925.0
132	1.0	2.501645961435182	10.879999999999999	835.0
133	0.0	2.6349240165273207	11.705	730.0
